participant_number;epoch;session;task;correct;count;participant
1;1;1;mixed;75;216;1
1;1;2;mixed;143;216;1
1;2;1;mixed;93;216;1
1;2;2;mixed;132;216;1
1;3;1;mixed;119;216;1
1;3;2;mixed;143;216;1
1;4;1;mixed;118;216;1
1;4;2;mixed;130;216;1
1;5;1;mixed;130;216;1
1;5;2;mixed;131;216;1
1;6;1;mixed;123;216;1
1;6;2;mixed;119;216;1
2;1;1;mixed;44;216;2
2;1;2;mixed;49;216;2
2;2;1;mixed;43;216;2
2;2;2;mixed;35;216;2
2;3;1;mixed;45;216;2
2;3;2;mixed;58;216;2
2;4;1;mixed;51;216;2
2;4;2;mixed;57;216;2
2;5;1;mixed;40;216;2
2;5;2;mixed;42;216;2
2;6;1;mixed;36;216;2
2;6;2;mixed;43;216;2
5;1;1;mixed;64;216;3
5;1;2;mixed;83;216;3
5;2;1;mixed;68;216;3
5;2;2;mixed;106;216;3
5;3;1;mixed;69;216;3
5;3;2;mixed;83;216;3
5;4;1;mixed;78;216;3
5;4;2;mixed;107;216;3
5;5;1;mixed;77;216;3
5;5;2;mixed;95;216;3
5;6;1;mixed;75;216;3
5;6;2;mixed;104;216;3
6;1;1;mixed;43;216;4
6;1;2;mixed;77;216;4
6;2;1;mixed;55;216;4
6;2;2;mixed;89;216;4
6;3;1;mixed;57;216;4
6;3;2;mixed;74;216;4
6;4;1;mixed;66;216;4
6;4;2;mixed;73;216;4
6;5;1;mixed;65;216;4
6;5;2;mixed;95;216;4
6;6;1;mixed;65;216;4
6;6;2;mixed;81;216;4
7;1;1;mixed;50;216;5
7;1;2;mixed;59;216;5
7;2;1;mixed;39;216;5
7;2;2;mixed;76;216;5
7;3;1;mixed;44;216;5
7;3;2;mixed;67;216;5
7;4;1;mixed;54;216;5
7;4;2;mixed;71;216;5
7;5;1;mixed;49;216;5
7;5;2;mixed;60;216;5
7;6;1;mixed;42;216;5
7;6;2;mixed;54;216;5
9;1;1;mixed;46;216;6
9;1;2;mixed;51;216;6
9;2;1;mixed;58;216;6
9;2;2;mixed;54;216;6
9;3;1;mixed;53;216;6
9;3;2;mixed;49;216;6
9;4;1;mixed;49;216;6
9;4;2;mixed;60;216;6
9;5;1;mixed;43;216;6
9;5;2;mixed;61;216;6
9;6;1;mixed;58;216;6
9;6;2;mixed;56;216;6
10;1;1;mixed;67;216;7
10;1;2;mixed;121;216;7
10;2;1;mixed;83;216;7
10;2;2;mixed;120;216;7
10;3;1;mixed;91;216;7
10;3;2;mixed;127;216;7
10;4;1;mixed;96;216;7
10;4;2;mixed;132;216;7
10;5;1;mixed;127;216;7
