participant_number;condition;session;epoch;task;difference;participant
1;high;1;1;mixed;31.04166667;1
1;high;1;2;mixed;27.29166667;1
1;high;1;3;mixed;12.29166667;1
1;high;1;4;mixed;6.041666667;1
1;high;1;5;mixed;1.041666667;1
1;high;1;6;mixed;4.791666667;1
1;high;2;1;mixed;2.1875;1
1;high;2;2;mixed;2.1875;1
1;high;2;3;mixed;4.6875;1
1;high;2;4;mixed;-1.5625;1
1;high;2;5;mixed;7.1875;1
1;high;2;6;mixed;-2.8125;1
1;low;1;1;mixed;37.29166667;1
1;low;1;2;mixed;52.29166667;1
1;low;1;3;mixed;27.29166667;1
1;low;1;4;mixed;7.291666667;1
1;low;1;5;mixed;2.291666667;1
1;low;1;6;mixed;-5.208333333;1
1;low;2;1;mixed;-0.3125;1
1;low;2;2;mixed;7.1875;1
1;low;2;3;mixed;4.6875;1
1;low;2;4;mixed;2.1875;1
1;low;2;5;mixed;-0.3125;1
1;low;2;6;mixed;4.6875;1
2;high;1;1;mixed;33.50694444;2
2;high;1;2;mixed;41.00694444;2
2;high;1;3;mixed;26.00694444;2
2;high;1;4;mixed;13.50694444;2
2;high;1;5;mixed;-0.243055556;2
2;high;1;6;mixed;-0.243055556;2
2;high;2;1;mixed;22.01388889;2
2;high;2;2;mixed;4.513888889;2
2;high;2;3;mixed;0.763888889;2
2;high;2;4;mixed;0.763888889;2
2;high;2;5;mixed;-1.736111111;2
2;high;2;6;mixed;-1.736111111;2
2;low;1;1;mixed;43.50694444;2
2;low;1;2;mixed;38.50694444;2
2;low;1;3;mixed;41.00694444;2
2;low;1;4;mixed;33.50694444;2
2;low;1;5;mixed;11.00694444;2
2;low;1;6;mixed;28.50694444;2
2;low;2;1;mixed;23.26388889;2
2;low;2;2;mixed;13.26388889;2
2;low;2;3;mixed;5.763888889;2
2;low;2;4;mixed;23.26388889;2
2;low;2;5;mixed;10.76388889;2
2;low;2;6;mixed;-4.236111111;2
5;high;1;1;mixed;1.979166667;3
5;high;1;2;mixed;1.979166667;3
5;high;1;3;mixed;6.979166667;3
5;high;1;4;mixed;1.979166667;3
5;high;1;5;mixed;0.729166667;3
5;high;1;6;mixed;1.979166667;3
5;high;2;1;mixed;-3.125;3
5;high;2;2;mixed;-9.375;3
5;high;2;3;mixed;-3.125;3
5;high;2;4;mixed;-5.625;3
5;high;2;5;mixed;-5.625;3
5;high;2;6;mixed;-4.375;3
5;low;1;1;mixed;19.47916667;3
5;low;1;2;mixed;11.97916667;3
5;low;1;3;mixed;6.979166667;3
5;low;1;4;mixed;4.479166667;3
5;low;1;5;mixed;1.979166667;3
5;low;1;6;mixed;1.979166667;3
5;low;2;1;mixed;-9.375;3
5;low;2;2;mixed;0.625;3
5;low;2;3;mixed;-6.875;3
5;low;2;4;mixed;-4.375;3
5;low;2;5;mixed;5.625;3
5;low;2;6;mixed;-9.375;3
6;high;1;1;mixed;19.96527778;4
6;high;1;2;mixed;18.71527778;4
6;high;1;3;mixed;17.46527778;4
6;high;1;4;mixed;21.21527778;4
6;high;1;5;mixed;26.21527778;4
6;high;1;6;mixed;33.71527778;4
6;high;2;1;mixed;17.98611111;4
6;high;2;2;mixed;10.48611111;4
6;high;2;3;mixed;11.73611111;4
6;high;2;4;mixed;12.98611111;4
6;high;2;5;mixed;5.486111111;4
6;high;2;6;mixed;0.486111111;4
6;low;1;1;mixed;24.96527778;4
6;low;1;2;mixed;19.96527778;4
6;low;1;3;mixed;27.46527778;4
6;low;1;4;mixed;29.96527778;4
6;low;1;5;mixed;37.46527778;4
6;low;1;6;mixed;37.46527778;4
6;low;2;1;mixed;19.23611111;4
6;low;2;2;mixed;14.23611111;4
6;low;2;3;mixed;24.23611111;4
6;low;2;4;mixed;6.736111111;4
6;low;2;5;mixed;24.23611111;4
6;low;2;6;mixed;9.236111111;4
7;high;1;1;mixed;-2.916666667;5
7;high;1;2;mixed;-15.41666667;5
7;high;1;3;mixed;-12.91666667;5
7;high;1;4;mixed;-10.41666667;5
7;high;1;5;mixed;-5.416666667;5
7;high;1;6;mixed;-5.416666667;5
7;high;2;1;mixed;-6.909722222;5
7;high;2;2;mixed;-5.659722222;5
7;high;2;3;mixed;-10.65972222;5
7;high;2;4;mixed;-5.659722222;5
7;high;2;5;mixed;-1.909722222;5
7;high;2;6;mixed;-6.909722222;5
7;low;1;1;mixed;0.833333333;5
7;low;1;2;mixed;5.833333333;5
7;low;1;3;mixed;-4.166666667;5
7;low;1;4;mixed;-6.666666667;5
7;low;1;5;mixed;-4.166666667;5
7;low;1;6;mixed;0.833333333;5
7;low;2;1;mixed;-10.65972222;5
7;low;2;2;mixed;-8.159722222;5
7;low;2;3;mixed;-10.65972222;5
7;low;2;4;mixed;-3.159722222;5
7;low;2;5;mixed;-5.659722222;5
7;low;2;6;mixed;-13.15972222;5
9;high;1;1;mixed;-5.590277778;6
9;high;1;2;mixed;-11.84027778;6
9;high;1;3;mixed;-11.84027778;6
9;high;1;4;mixed;-6.840277778;6
9;high;1;5;mixed;-15.59027778;6
9;high;1;6;mixed;-13.09027778;6
9;high;2;1;mixed;-8.541666667;6
9;high;2;2;mixed;-13.54166667;6
9;high;2;3;mixed;-6.041666667;6
9;high;2;4;mixed;-12.29166667;6
9;high;2;5;mixed;-9.791666667;6
9;high;2;6;mixed;-6.041666667;6
9;low;1;1;mixed;5.659722222;6
9;low;1;2;mixed;-1.840277778;6
9;low;1;3;mixed;-14.34027778;6
9;low;1;4;mixed;-4.340277778;6
9;low;1;5;mixed;-6.840277778;6
9;low;1;6;mixed;-9.340277778;6
9;low;2;1;mixed;-8.541666667;6
9;low;2;2;mixed;-6.041666667;6
9;low;2;3;mixed;-6.041666667;6
9;low;2;4;mixed;-3.541666667;6
9;low;2;5;mixed;-1.041666667;6
9;low;2;6;mixed;-8.541666667;6
10;high;1;1;mixed;23.125;7
10;high;1;2;mixed;18.125;7
10;high;1;3;mixed;6.875;7
10;high;1;4;mixed;9.375;7
10;high;1;5;mixed;0.625;7
10;high;1;6;mixed;4.375;7
10;high;2;1;mixed;-0.972222222;7
10;high;2;2;mixed;0.277777778;7
10;high;2;3;mixed;-8.472222222;7
10;high;2;4;mixed;1.527777778;7
10;high;2;5;mixed;-3.472222222;7
10;high;2;6;mixed;-2.222222222;7
10;low;1;1;mixed;33.125;7
10;low;1;2;mixed;23.125;7
10;low;1;3;mixed;25.625;7
10;low;1;4;mixed;15.625;7
10;low;1;5;mixed;5.625;7
10;low;1;6;mixed;18.125;7
10;low;2;1;mixed;4.027777778;7
10;low;2;2;mixed;11.52777778;7
10;low;2;3;mixed;9.027777778;7
10;low;2;4;mixed;4.027777778;7
10;low;2;5;mixed;9.027777778;7
10;low;2;6;mixed;-3.472222222;7
11;high;1;1;mixed;-15.03472222;8
11;high;1;2;mixed;-13.78472222;8
11;high;1;3;mixed;-8.784722222;8
11;high;1;4;mixed;-17.53472222;8
11;high;1;5;mixed;-13.78472222;8
11;high;1;6;mixed;-13.78472222;8
11;high;2;1;mixed;-13.40277778;8
11;high;2;2;mixed;-13.40277778;8
11;high;2;3;mixed;-13.40277778;8
11;high;2;4;mixed;-14.65277778;8
11;high;2;5;mixed;-13.40277778;8
